Hue,Saturation,Brightness,AdobeHex,Red,Green,Blue
337,10,100,#FFE6EF,255,230,239
338,10,100,#FFE6EF,255,230,239
339,10,100,#FFE6EE,255,230,238
340,10,100,#FFE6EE,255,230,238
341,10,100,#FFE6EE,255,230,238
342,10,100,#FFE6ED,255,230,237
343,10,100,#FFE6ED,255,230,237
344,10,100,#FFE6EC,255,230,236
345,10,100,#FFE6EC,255,230,236
346,10,100,#FFE6EB,255,230,235
347,10,100,#FFE6EB,255,230,235
348,10,100,#FFE6EB,255,230,235
349,10,100,#FFE6EA,255,230,234
350,10,100,#FFE6EA,255,230,234
351,10,100,#FFE6E9,255,230,233
352,10,100,#FFE6E9,255,230,233
353,10,100,#FFE6E8,255,230,232
354,10,100,#FFE6E8,255,230,232
355,10,100,#FFE6E8,255,230,232
356,10,100,#FFE6E7,255,230,231
357,10,100,#FFE6E7,255,230,231
358,10,100,#FFE6E6,255,230,230
359,10,100,#FFE6E6,255,230,230
